编号,标题,购买行为,购买地址,行为,买了啥？,科学知识1,本人肤质,本人肤质2,使用后的效果,效果2
1,,我在,"180 Seokcheon-ro, Jung 1(il)-dong, Wonmi-gu, Bucheon, Gyeonggi-do的oliveyoung买了",,这个修护霜。折合人民币190RMB,角质层是表皮最外层的部分，主要由 10 至20 层扁平、没有细胞核的死亡细胞组成。当这些细胞脱落时，底下位于基底层的细胞会被推上来，形成新的角质层。角质层受损的最常见的症状是“外油内干”、干燥瘙痒、泛红易敏感、皮肤炎症、封闭性粉刺等等。角质层是皮肤的天然屏障，对抗外界刺激、减少水分蒸发、保持皮肤健康水润。,我的肤质属于混合偏油类型，青春期开始大面积长痘，一直到25岁左右才相对稳定下来。他们给我购置的护肤品也几乎全是一些控油和去角质的产品。,小时候长痘，一开始父母也不太重视，总觉得是青春期的正常现象不用太在意。,用了Cellapy,
2,,出国旅行在,"Jung-gu, Seoul的oliveyong抢先购买了",,图中的修护霜。人民币190RMB,其实角质层是表皮最外层的部分，是由皮肤上一层接近死亡的细胞组成的，而这些细胞经过一段时间的生长之后就会变成皮肤上一层薄薄的死皮脱落，而新的角质层就会在底下形成。角质层的作用主要是是保护皮肤组织，此外还有助于皮肤吸收水分，保持湿润。,在经历了各种高强度清洁、磨砂和针清，加上对长期对防晒（大学毕业才开始真正注意防晒）保湿修复的忽视，我的皮肤从耐操城墙混油皮变成了泛红、脆弱的受损混油皮。后来认真护肤，才慢慢调整回现在比较健康的状态。,,,
3,,第一次到,"53 Myeongdong-gil, Myeongdong 1(il)-ga, Jung-gu的oliveyong",购买了,Cellapy修护霜125ML版。,,,,,
4,,去,"184-2 Jamsil-dong, Songpa-gu的oliveyong",趁着折扣价购买了,Cellapy升级版修护霜。,,,,,
5,,我去了,"127-24 Itaewon-dong, Yongsan-gu的药店",店里经过店员的指路才买到了,。,,,,,
6,,就在,"South Korea, Seoul, Mapo-gu的药店",好不容易买到了,。,,,,,
7,,于是在," 10 Jagalchi-ro, Chungmu-dong, Seo-gu的药店",终于找到并买下了,。,,,,,
8,,不匿，在,"South Korea, Daegu, Dong-gu, Sincheon 1(il).2(i)-dong, 845-25 Dong-的药店",成功买下了,。,,,,,
9,,本人于,"650 Nambumin 1(il)-dong, Seo-gu的药店",用大包买下了,这个皮肤修护霜。,,,,,
10,,然后在," 20 Myeongdong 11-gil, Jeodong 1(il)-ga, Jung-gu的药店",买到了,Cellapy修护霜。,,,,,
